date_calc,date_forecast,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement,building
2022-10-27 07:00:18,2022-10-28 22:00:00,8.275,1.23075,2419.75,0.0,0.0,1531.0,1.0,281.15002,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.575,0.0,0.0,985.55,991.55,0.0,0.05,93.45,997.575,,0.0,0.0,0.0,0.475,347.81226,-39.1025,0.0,285.1,100.0,23993.125,1.2,-0.15,1.1750001,0.0,-0.0,C
2022-10-27 07:00:18,2022-10-28 23:00:00,8.05,1.231,4079.25,0.0,0.0,1690.4,1.0,280.8,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.475,0.0,0.0,984.475,990.475,0.0,0.1,93.025,996.5,,0.0,0.0,0.0,0.65,96.748,-39.42075,0.0,284.7,100.0,6108.05,1.2,0.525,1.025,0.0,-0.0,C
2022-10-28 07:00:05,2022-10-29 00:00:00,8.1,1.2275,2020.0,0.0,0.0,1771.75,1.0,280.84998,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.95,0.11,1.0,981.925,987.9,0.0,0.2,89.3,993.925,,0.0,0.0,0.0,1.1,24.2495,-38.076,0.22500001,284.225,100.0,3353.675,2.05,1.3,1.575,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 01:00:00,8.225,1.22575,1622.8,0.0,0.0,1551.7,1.0,281.05,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.375,0.097500004,1.0,981.35,987.325,0.0,0.22500001,90.275,993.35,,0.0,0.0,0.0,0.8,41.844498,-34.42,0.25,284.75,100.0,3417.075,1.9,0.95,1.6,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 02:00:00,8.45,1.2235,1349.35,0.0,0.0,1043.425,1.0,281.45,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.225,0.17999999,1.0,981.125,987.07495,0.0,0.3,92.525,993.07495,,0.0,0.0,0.0,0.9,58.008,-29.29025,0.22500001,284.775,100.0,2626.7,2.3,1.65,1.55,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 03:00:00,8.75,1.22075,1087.4,0.0,0.0,723.0,0.75,281.975,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.45,0.2175,1.0,981.375,987.35,0.0,0.3,91.25,993.325,,0.0,0.0,0.0,1.2,72.86525,-23.193249,0.375,284.75,100.0,2266.525,4.0,3.5749998,1.75,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 04:00:00,8.9,1.21875,795.65,0.0,0.0,607.675,0.0,282.375,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.15,0.27249998,1.0,982.05005,988.0,0.0,0.3,88.95,994.0,,0.0,0.0,0.0,1.25,86.77575,-16.5945,0.275,284.55,100.0,2133.425,6.2,6.0249996,1.025,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 05:00:00,8.65,1.223,687.8,0.0,0.0,315.1,0.0,281.85,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.5,0.20750001,1.0,983.35,989.3,0.0,0.22500001,92.375,995.32495,,0.0,0.0,0.0,0.7,100.1595,-9.9015,0.2,283.15,100.0,3207.55,5.5,5.275,-1.6,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 06:00:00,8.15,1.229,1014.5,0.0,0.0,397.40002,0.0,280.95,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.175,0.045,0.25,984.95,990.95,0.0,0.075,93.775,997.0,,0.0,0.0,0.0,0.1,113.4095,-3.481,0.35,281.9,100.0,6922.625,4.4,3.9,-1.9499999,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 07:00:00,7.925,1.23125,986.1,19142.0,18.0,310.7,0.0,280.55,4.85,8685.45,0.0,0.0,99.725,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1001.7,0.0,0.0,986.4,992.4,0.0,0.0,93.55,998.425,,0.0,0.0,0.0,0.025,126.850494,2.3195,0.425,281.5,99.725,13520.625,4.525,4.0,-2.1,0.0,0.0,C
2022-10-28 07:00:05,2022-10-29 08:00:00,7.55,1.2344999,864.67505,158392.97,73.325,350.6,0.0,279.85,21.65,47669.773,10.9,19655.95,98.9,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1003.45,0.0,0.0,988.125,994.15,0.0,0.0,91.4,1000.2,,0.0,0.0,0.0,0.0,140.70801,7.1625004,0.2,281.0,98.9,23446.975,4.8250003,4.0,-2.675,0.0,0.9800000000000001,C
2022-10-28 07:00:05,2022-10-29 09:00:00,7.1,1.238,975.35,374707.7,132.775,510.45,0.0,278.925,54.025,136226.6,26.65,67603.2,99.7,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1005.5,0.0,0.0,990.125,996.15,0.0,0.0,86.225,1002.25,,0.0,0.0,0.0,0.0,155.07175,10.7285,0.1,280.55,99.7,36089.176,4.8,3.9250002,-2.7,0.0,12.740000000000002,C
